Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ITSupporter,,,2019-02-19 09:34:15,2019-02-19 09:34:27,11.492s,FAILED
,,,,,,
Test Cases/ITSupporter/01Login1,,,2019-02-19 09:34:16,2019-02-19 09:34:18,2.251s,PASSED
"a = sendRequest(findTestObject(""ITSupporter/01Login""))",,,2019-02-19 09:34:16,2019-02-19 09:34:18,1.246s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-19 09:34:18,2019-02-19 09:34:18,0.045s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-19 09:34:18,2019-02-19 09:34:18,0.110s,PASSED
,,,,,,
Test Cases/ITSupporter/02Logout,,,2019-02-19 09:34:18,2019-02-19 09:34:18,0.464s,PASSED
"a = sendRequest(findTestObject(""ITSupporter/02Logout""))",,,2019-02-19 09:34:18,2019-02-19 09:34:18,0.082s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-19 09:34:18,2019-02-19 09:34:18,0.004s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-19 09:34:18,2019-02-19 09:34:18,0.057s,PASSED
,,,,,,
Test Cases/ITSupporter/03ViewProfile1,,,2019-02-19 09:34:18,2019-02-19 09:34:19,0.500s,PASSED
"a = sendRequest(findTestObject(""ITSupporter/03ViewProfile""))",,,2019-02-19 09:34:19,2019-02-19 09:34:19,0.083s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-19 09:34:19,2019-02-19 09:34:19,0.005s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-19 09:34:19,2019-02-19 09:34:19,0.055s,PASSED
,,,,,,
Test Cases/ITSupporter/04UpdateTaskStatus,,,2019-02-19 09:34:19,2019-02-19 09:34:19,0.424s,PASSED
"a = sendRequest(findTestObject(""ITSupporter/04UpdateTaskStatus""))",,,2019-02-19 09:34:19,2019-02-19 09:34:19,0.089s,PASSED
