Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Agency,,,2019-02-19 09:25:21,2019-02-19 09:25:31,9.815s,FAILED
,,,,,,
Test Cases/Agency/28AgencyLogin1,,,2019-02-19 09:25:22,2019-02-19 09:25:24,2.362s,PASSED
"a = sendRequest(findTestObject(""Agency/28AgencyLogin""))",,,2019-02-19 09:25:22,2019-02-19 09:25:24,1.513s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-19 09:25:24,2019-02-19 09:25:24,0.037s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-19 09:25:24,2019-02-19 09:25:24,0.194s,PASSED
,,,,,,
Test Cases/Agency/30ViewProfileAgency1,,,2019-02-19 09:25:24,2019-02-19 09:25:25,0.632s,PASSED
"a = sendRequest(findTestObject(""Agency/30ViewProfileAgency""))",,,2019-02-19 09:25:24,2019-02-19 09:25:25,0.244s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-19 09:25:25,2019-02-19 09:25:25,0.018s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-19 09:25:25,2019-02-19 09:25:25,0.045s,PASSED
,,,,,,
Test Cases/Agency/31UpdateProfileAgency,,,2019-02-19 09:25:25,2019-02-19 09:25:25,0.643s,FAILED
"a = sendRequest(findTestObject(""Agency/31UpdateProfileAgency""))",,,2019-02-19 09:25:25,2019-02-19 09:25:25,0.192s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-19 09:25:25,2019-02-19 09:25:25,0.029s,FAILED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-19 09:25:25,2019-02-19 09:25:25,0.109s,FAILED
,,,,,,
Test Cases/Agency/32ViewAllDevice1,,,2019-02-19 09:25:25,2019-02-19 09:25:26,0.463s,PASSED
"a = sendRequest(findTestObject(""Agency/32ViewAllDevice""))",,,2019-02-19 09:25:26,2019-02-19 09:25:26,0.110s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-19 09:25:26,2019-02-19 09:25:26,0.003s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-19 09:25:26,2019-02-19 09:25:26,0.046s,PASSED
,,,,,,
Test Cases/Agency/33CreateRequest,,,2019-02-19 09:25:26,2019-02-19 09:25:27,0.858s,PASSED
"a = sendRequest(findTestObject(""Agency/33CreateRequest""))",,,2019-02-19 09:25:26,2019-02-19 09:25:27,0.549s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-19 09:25:27,2019-02-19 09:25:27,0.006s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-19 09:25:27,2019-02-19 09:25:27,0.052s,PASSED
,,,,,,
Test Cases/Agency/34CreateDevice,,,2019-02-19 09:25:27,2019-02-19 09:25:27,0.446s,FAILED
"a = sendRequest(findTestObject(""Agency/34CreateDevice""))",,,2019-02-19 09:25:27,2019-02-19 09:25:27,0.081s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-19 09:25:27,2019-02-19 09:25:27,0.003s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-19 09:25:27,2019-02-19 09:25:27,0.038s,FAILED
,,,,,,
Test Cases/Agency/35UpdateDevice,,,2019-02-19 09:25:27,2019-02-19 09:25:27,0.270s,FAILED
"a = sendRequest(findTestObject(""Agency/35UpdateDevice""))",,,2019-02-19 09:25:27,2019-02-19 09:25:27,0.049s,PASSED
