Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ITSupporter,,,2019-02-18 17:18:35,2019-02-18 17:18:46,11.555s,FAILED
,,,,,,
Test Cases/ITSupporter/01Login1,,,2019-02-18 17:18:35,2019-02-18 17:18:38,3.072s,PASSED
"a = sendRequest(findTestObject(""ITSupporter/01Login""))",,,2019-02-18 17:18:36,2019-02-18 17:18:38,1.717s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-18 17:18:38,2019-02-18 17:18:38,0.027s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-18 17:18:38,2019-02-18 17:18:38,0.135s,PASSED
,,,,,,
Test Cases/ITSupporter/02Logout,,,2019-02-18 17:18:38,2019-02-18 17:18:39,0.547s,PASSED
"a = sendRequest(findTestObject(""ITSupporter/02Logout""))",,,2019-02-18 17:18:39,2019-02-18 17:18:39,0.088s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-18 17:18:39,2019-02-18 17:18:39,0.002s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-18 17:18:39,2019-02-18 17:18:39,0.037s,PASSED
,,,,,,
Test Cases/ITSupporter/03ViewProfile1,,,2019-02-18 17:18:39,2019-02-18 17:18:39,0.681s,PASSED
"a = sendRequest(findTestObject(""ITSupporter/03ViewProfile""))",,,2019-02-18 17:18:39,2019-02-18 17:18:39,0.059s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-18 17:18:39,2019-02-18 17:18:39,0.004s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-18 17:18:39,2019-02-18 17:18:39,0.029s,PASSED
,,,,,,
Test Cases/ITSupporter/04UpdateTaskStatus,,,2019-02-18 17:18:39,2019-02-18 17:18:40,0.669s,PASSED
"a = sendRequest(findTestObject(""ITSupporter/04UpdateTaskStatus""))",,,2019-02-18 17:18:40,2019-02-18 17:18:40,0.059s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-18 17:18:40,2019-02-18 17:18:40,0.002s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-18 17:18:40,2019-02-18 17:18:40,0.030s,PASSED
,,,,,,
Test Cases/ITSupporter/05DeleteTask,,,2019-02-18 17:18:40,2019-02-18 17:18:41,0.410s,PASSED
"a = sendRequest(findTestObject(""ITSupporter/05DeleteTask""))",,,2019-02-18 17:18:40,2019-02-18 17:18:40,0.052s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-18 17:18:40,2019-02-18 17:18:40,0.002s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-18 17:18:40,2019-02-18 17:18:41,0.026s,PASSED
,,,,,,
Test Cases/ITSupporter/06UpdateProfile,,,2019-02-18 17:18:41,2019-02-18 17:18:41,0.402s,FAILED
"a = sendRequest(findTestObject(""ITSupporter/06UpdateProfile""))",,,2019-02-18 17:18:41,2019-02-18 17:18:41,0.035s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-18 17:18:41,2019-02-18 17:18:41,0.001s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-18 17:18:41,2019-02-18 17:18:41,0.037s,FAILED
,,,,,,
Test Cases/ITSupporter/07CreateTask,,,2019-02-18 17:18:41,2019-02-18 17:18:41,0.239s,FAILED
"a = sendRequest(findTestObject(""ITSupporter/07CreateTask""))",,,2019-02-18 17:18:41,2019-02-18 17:18:41,0.053s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-18 17:18:41,2019-02-18 17:18:41,0.002s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-18 17:18:41,2019-02-18 17:18:41,0.023s,FAILED
,,,,,,
Test Cases/ITSupporter/08CreateTaskFromGuideline,,,2019-02-18 17:18:41,2019-02-18 17:18:41,0.314s,FAILED
"a = sendRequest(findTestObject(""ITSupporter/08CreateTaskFromGuidline""))",,,2019-02-18 17:18:41,2019-02-18 17:18:41,0.075s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-18 17:18:41,2019-02-18 17:18:41,0.002s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-18 17:18:41,2019-02-18 17:18:41,0.031s,FAILED
,,,,,,
Test Cases/ITSupporter/09AllTaskByRequestID1,,,2019-02-18 17:18:41,2019-02-18 17:18:42,0.317s,PASSED
"a = sendRequest(findTestObject(""ITSupporter/09AllTaskByRequestID""))",,,2019-02-18 17:18:42,2019-02-18 17:18:42,0.042s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-18 17:18:42,2019-02-18 17:18:42,0.001s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-18 17:18:42,2019-02-18 17:18:42,0.034s,PASSED
,,,,,,
Test Cases/ITSupporter/10TaskByRequestTaskID1,,,2019-02-18 17:18:42,2019-02-18 17:18:42,0.442s,PASSED
"a = sendRequest(findTestObject(""ITSupporter/10TaskByRequestTaskID""))",,,2019-02-18 17:18:42,2019-02-18 17:18:42,0.067s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-18 17:18:42,2019-02-18 17:18:42,0.003s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-18 17:18:42,2019-02-18 17:18:42,0.022s,PASSED
,,,,,,
Test Cases/ITSupporter/11MonitorTimeTask,,,2019-02-18 17:18:42,2019-02-18 17:18:43,0.446s,FAILED
"a = sendRequest(findTestObject(""ITSupporter/11MonitorTimeTask""))",,,2019-02-18 17:18:43,2019-02-18 17:18:43,0.055s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-18 17:18:43,2019-02-18 17:18:43,0.001s,PASSED
