Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ITSupporter,,,2019-02-19 11:07:00,2019-02-19 11:07:15,14.697s,FAILED
,,,,,,
Test Cases/ITSupporter/01Login1,,,2019-02-19 11:07:01,2019-02-19 11:07:04,2.829s,PASSED
"a = sendRequest(findTestObject(""ITSupporter/01Login""))",,,2019-02-19 11:07:01,2019-02-19 11:07:03,1.802s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-19 11:07:03,2019-02-19 11:07:03,0.093s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-19 11:07:03,2019-02-19 11:07:04,0.238s,PASSED
,,,,,,
Test Cases/ITSupporter/02Logout,,,2019-02-19 11:07:04,2019-02-19 11:07:04,0.528s,PASSED
"a = sendRequest(findTestObject(""ITSupporter/02Logout""))",,,2019-02-19 11:07:04,2019-02-19 11:07:04,0.141s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-19 11:07:04,2019-02-19 11:07:04,0.002s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-19 11:07:04,2019-02-19 11:07:04,0.033s,PASSED
,,,,,,
Test Cases/ITSupporter/03ViewProfile1,,,2019-02-19 11:07:05,2019-02-19 11:07:05,0.755s,PASSED
"a = sendRequest(findTestObject(""ITSupporter/03ViewProfile""))",,,2019-02-19 11:07:05,2019-02-19 11:07:05,0.082s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-19 11:07:05,2019-02-19 11:07:05,0.033s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-19 11:07:05,2019-02-19 11:07:05,0.095s,PASSED
,,,,,,
Test Cases/ITSupporter/04UpdateTaskStatus,,,2019-02-19 11:07:05,2019-02-19 11:07:07,1.314s,PASSED
"a = sendRequest(findTestObject(""ITSupporter/04UpdateTaskStatus""))",,,2019-02-19 11:07:06,2019-02-19 11:07:07,0.601s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-19 11:07:07,2019-02-19 11:07:07,0.007s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-19 11:07:07,2019-02-19 11:07:07,0.038s,PASSED
,,,,,,
Test Cases/ITSupporter/05DeleteTask,,,2019-02-19 11:07:07,2019-02-19 11:07:07,0.413s,FAILED
"a = sendRequest(findTestObject(""ITSupporter/05DeleteTask""))",,,2019-02-19 11:07:07,2019-02-19 11:07:07,0.079s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-19 11:07:07,2019-02-19 11:07:07,0.003s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-19 11:07:07,2019-02-19 11:07:07,0.076s,FAILED
,,,,,,
Test Cases/ITSupporter/06UpdateProfile,,,2019-02-19 11:07:07,2019-02-19 11:07:08,0.480s,FAILED
"a = sendRequest(findTestObject(""ITSupporter/06UpdateProfile""))",,,2019-02-19 11:07:08,2019-02-19 11:07:08,0.080s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-19 11:07:08,2019-02-19 11:07:08,0.002s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-19 11:07:08,2019-02-19 11:07:08,0.025s,FAILED
,,,,,,
Test Cases/ITSupporter/07CreateTask,,,2019-02-19 11:07:08,2019-02-19 11:07:08,0.464s,FAILED
"a = sendRequest(findTestObject(""ITSupporter/07CreateTask""))",,,2019-02-19 11:07:08,2019-02-19 11:07:08,0.209s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-19 11:07:08,2019-02-19 11:07:08,0.001s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-19 11:07:08,2019-02-19 11:07:08,0.025s,FAILED
,,,,,,
