Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ITSupporter,,,2019-02-13 16:25:01,2019-02-13 16:25:25,23.971s,FAILED
,,,,,,
Test Cases/ITSupporter/01Login,,,2019-02-13 16:25:02,2019-02-13 16:25:12,9.772s,FAILED
"a = sendRequest(findTestObject(""ITSupporter/01Login""))",,,2019-02-13 16:25:03,2019-02-13 16:25:08,4.711s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-13 16:25:08,2019-02-13 16:25:08,0.022s,PASSED
"verifyElementPropertyValue(a, ""ObjReturn.NumericalOrder"", 1)",,,2019-02-13 16:25:08,2019-02-13 16:25:08,0.242s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn.ITSupporterId"", 33)",,,2019-02-13 16:25:08,2019-02-13 16:25:08,0.202s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn.ITSupporterName"", ""Phạm Phú Tiến"")",,,2019-02-13 16:25:08,2019-02-13 16:25:08,0.176s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn.AccountId"", 162)",,,2019-02-13 16:25:08,2019-02-13 16:25:09,0.115s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn.Username"", ""qwerty"")",,,2019-02-13 16:25:09,2019-02-13 16:25:09,0.239s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn.OldUsername"", null)",,,2019-02-13 16:25:09,2019-02-13 16:25:09,0.240s,PASSED
"verifyElementPropertyValue(a, ""ObjReturn.Telephone"", ""bddgsr"")",,,2019-02-13 16:25:09,2019-02-13 16:25:09,0.140s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn.Email"", ""fads"")",,,2019-02-13 16:25:09,2019-02-13 16:25:09,0.198s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn.Gender"", ""Male"")",,,2019-02-13 16:25:09,2019-02-13 16:25:10,0.173s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn.Address"", ""rsafsz3r"")",,,2019-02-13 16:25:10,2019-02-13 16:25:10,0.267s,FAILED
