Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
,,,,,,
Test Cases/ITSupporter/13ViewGuideLine1,,,2019-02-18 17:13:31,2019-02-18 17:13:31,0.406s,PASSED
"a = sendRequest(findTestObject(""ITSupporter/13ViewGuideLine""))",,,2019-02-18 17:13:31,2019-02-18 17:13:31,0.122s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-18 17:13:31,2019-02-18 17:13:31,0.001s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-18 17:13:31,2019-02-18 17:13:31,0.021s,PASSED
,,,,,,
Test Cases/ITSupporter/14ViewITSupporterStatistic1,,,2019-02-18 17:13:31,2019-02-18 17:13:32,0.308s,PASSED
"a = sendRequest(findTestObject(""ITSupporter/14ViewITSupporterStatistic""))",,,2019-02-18 17:13:32,2019-02-18 17:13:32,0.106s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-18 17:13:32,2019-02-18 17:13:32,0.001s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-18 17:13:32,2019-02-18 17:13:32,0.035s,PASSED
,,,,,,
Test Cases/ITSupporter/15ViewITSupporterStatisticAll1,,,2019-02-18 17:13:32,2019-02-18 17:13:32,0.232s,PASSED
"a = sendRequest(findTestObject(""ITSupporter/15ViewITSupporterStatisticAll""))",,,2019-02-18 17:13:32,2019-02-18 17:13:32,0.038s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-18 17:13:32,2019-02-18 17:13:32,0.001s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-18 17:13:32,2019-02-18 17:13:32,0.021s,PASSED
,,,,,,
Test Cases/ITSupporter/16ViewITSupporterStatisticToday1,,,2019-02-18 17:13:32,2019-02-18 17:13:32,0.279s,PASSED
"a = sendRequest(findTestObject(""ITSupporter/16ViewITSupporterStatisticToday""))",,,2019-02-18 17:13:32,2019-02-18 17:13:32,0.099s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-18 17:13:32,2019-02-18 17:13:32,0.003s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-18 17:13:32,2019-02-18 17:13:32,0.024s,PASSED
,,,,,,
Test Cases/ITSupporter/17UpdateStatusIT,,,2019-02-18 17:13:32,2019-02-18 17:13:33,0.234s,PASSED
"a = sendRequest(findTestObject(""ITSupporter/17UpdateStatusIT""))",,,2019-02-18 17:13:32,2019-02-18 17:13:32,0.048s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-18 17:13:32,2019-02-18 17:13:32,0.002s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-18 17:13:32,2019-02-18 17:13:33,0.016s,PASSED
,,,,,,
Test Cases/ITSupporter/18UpdateStartTime,,,2019-02-18 17:13:33,2019-02-18 17:13:33,0.225s,PASSED
"a = sendRequest(findTestObject(""ITSupporter/18UpdateStartTime""))",,,2019-02-18 17:13:33,2019-02-18 17:13:33,0.040s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-18 17:13:33,2019-02-18 17:13:33,0.001s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-18 17:13:33,2019-02-18 17:13:33,0.019s,PASSED
,,,,,,
Test Cases/ITSupporter/19UpdateEndTime,,,2019-02-18 17:13:33,2019-02-18 17:13:33,0.280s,PASSED
"a = sendRequest(findTestObject(""ITSupporter/19UpdateEndTime""))",,,2019-02-18 17:13:33,2019-02-18 17:13:33,0.080s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-18 17:13:33,2019-02-18 17:13:33,0.002s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-18 17:13:33,2019-02-18 17:13:33,0.020s,PASSED
,,,,,,
Test Cases/ITSupporter/20GetIsOnline,,,2019-02-18 17:13:33,2019-02-18 17:13:33,0.241s,PASSED
