Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"verifyElementPropertyValue(a, ""ObjReturn[20].NumberOfRecord"", 3)",,,2019-02-13 17:11:17,2019-02-13 17:11:18,0.087s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[20].Priority"", ""Cao"")",,,2019-02-13 17:11:18,2019-02-13 17:11:18,0.120s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[19].RequestId"", 4)",,,2019-02-13 17:11:18,2019-02-13 17:11:18,0.060s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[19].RequestName"", ""Uni deli - Sửa chữa máy POS  không in được."")",,,2019-02-13 17:11:18,2019-02-13 17:11:18,0.037s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[19].CreateDate"", ""14:10 16/01/2019"")",,,2019-02-13 17:11:18,2019-02-13 17:11:18,0.070s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[19].AgencyName"", ""Uni deli"")",,,2019-02-13 17:11:18,2019-02-13 17:11:18,0.138s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[19].ITSupporterName"", null)",,,2019-02-13 17:11:18,2019-02-13 17:11:18,0.100s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[19].IssueName"", ""Sửa chữa máy POS  không in được."")",,,2019-02-13 17:11:18,2019-02-13 17:11:18,0.090s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[19].ITName"", null)",,,2019-02-13 17:11:18,2019-02-13 17:11:18,0.060s,PASSED
"verifyElementPropertyValue(a, ""ObjReturn[19].RequestStatus"", ""Tạo mới"")",,,2019-02-13 17:11:18,2019-02-13 17:11:18,0.041s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[19].RequestStatusId"", 5)",,,2019-02-13 17:11:18,2019-02-13 17:11:18,0.043s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[19].StatusName"", ""Tạo mới"")",,,2019-02-13 17:11:18,2019-02-13 17:11:18,0.035s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[19].NumberOfRecord"", 4)",,,2019-02-13 17:11:18,2019-02-13 17:11:18,0.032s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[19].Priority"", ""Cao"")",,,2019-02-13 17:11:18,2019-02-13 17:11:18,0.051s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[18].RequestId"", 5)",,,2019-02-13 17:11:18,2019-02-13 17:11:18,0.059s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[18].RequestName"", ""Passio 47 TCV - Mở máy tính không lên"")",,,2019-02-13 17:11:18,2019-02-13 17:11:19,0.025s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[18].CreateDate"", ""14:21 16/01/2019"")",,,2019-02-13 17:11:19,2019-02-13 17:11:19,0.024s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[18].AgencyName"", ""Passio 47 TCV"")",,,2019-02-13 17:11:19,2019-02-13 17:11:19,0.028s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[18].ITSupporterName"", null)",,,2019-02-13 17:11:19,2019-02-13 17:11:19,0.027s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[18].IssueName"", ""Mở máy tính không lên"")",,,2019-02-13 17:11:19,2019-02-13 17:11:19,0.032s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[18].ITName"", null)",,,2019-02-13 17:11:19,2019-02-13 17:11:19,0.032s,PASSED
"verifyElementPropertyValue(a, ""ObjReturn[18].RequestStatus"", ""Hoàn thành"")",,,2019-02-13 17:11:19,2019-02-13 17:11:19,0.029s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[18].RequestStatusId"", 3)",,,2019-02-13 17:11:19,2019-02-13 17:11:19,0.028s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[18].StatusName"", ""Hoàn thành"")",,,2019-02-13 17:11:19,2019-02-13 17:11:19,0.121s,PASSED
"verifyElementPropertyValue(a, ""ObjReturn[18].NumberOfRecord"", 5)",,,2019-02-13 17:11:19,2019-02-13 17:11:19,0.038s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[18].Priority"", null)",,,2019-02-13 17:11:19,2019-02-13 17:11:19,0.041s,FAILED
,,,,,,
Test Cases/Request/49AllTicketWithStatusAgency,,,2019-02-13 17:11:19,2019-02-13 17:11:22,3.187s,FAILED
"a = sendRequest(findTestObject(""Request/49AllTicketWithStatusAgency""))",,,2019-02-13 17:11:20,2019-02-13 17:11:20,0.123s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-13 17:11:20,2019-02-13 17:11:20,0.003s,PASSED
"verifyElementPropertyValue(a, ""ObjReturn[0].RequestId"", 13)",,,2019-02-13 17:11:20,2019-02-13 17:11:20,0.038s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[0].AgencyId"", 31)",,,2019-02-13 17:11:20,2019-02-13 17:11:20,0.103s,FAILED
